County,State,3/15~4/30,3/15~5/31
Autauga,Alabama,4,1
Baldwin,Alabama,8,7
Barbour,Alabama,1,2
Bibb,Alabama,12,8
Blount,Alabama,12,9
Bullock,Alabama,12,1
Butler,Alabama,10,5
Calhoun,Alabama,10,8
Chambers,Alabama,5,6
Cherokee,Alabama,12,9
Chilton,Alabama,10,8
Choctaw,Alabama,12,3
Clarke,Alabama,10,3
Clay,Alabama,10,2
Cleburne,Alabama,11,8
Coffee,Alabama,10,8
Colbert,Alabama,9,1
Conecuh,Alabama,12,8
Coosa,Alabama,4,2
Covington,Alabama,10,8
Crenshaw,Alabama,12,2
Cullman,Alabama,8,8
Dale,Alabama,12,10
Dallas,Alabama,4,1
DeKalb,Alabama,10,2
Elmore,Alabama,10,3
Escambia,Alabama,10,2
Etowah,Alabama,6,3
Fayette,Alabama,12,10
Franklin,Alabama,8,3
Geneva,Alabama,12,10
Greene,Alabama,10,5
Hale,Alabama,4,1
Henry,Alabama,10,2
Houston,Alabama,9,2
Jackson,Alabama,6,3
Jefferson,Alabama,10,3
Lamar,Alabama,12,10
Lauderdale,Alabama,9,1
Lawrence,Alabama,12,10
Lee,Alabama,6,5
Limestone,Alabama,12,10
Lowndes,Alabama,4,6
Macon,Alabama,6,3
Madison,Alabama,10,8
Marengo,Alabama,6,1
Marion,Alabama,6,5
Marshall,Alabama,6,3
Mobile,Alabama,6,1
Monroe,Alabama,4,3
Montgomery,Alabama,9,1
Morgan,Alabama,12,9
Perry,Alabama,12,10
Pickens,Alabama,10,3
Pike,Alabama,12,10
Randolph,Alabama,6,1
Russell,Alabama,12,10
St. Clair,Alabama,12,9
Shelby,Alabama,4,2
Sumter,Alabama,4,1
Talladega,Alabama,10,8
Tallapoosa,Alabama,5,6
Tuscaloosa,Alabama,10,2
Walker,Alabama,12,9
Washington,Alabama,5,1
Wilcox,Alabama,4,6
Winston,Alabama,12,8
Aleutians East,Alaska,0,0
Aleutians West,Alaska,0,0
Anchorage,Alaska,10,8
Bethel,Alaska,13,10
Bristol Bay,Alaska,0,0
Denali,Alaska,0,0
Dillingham,Alaska,0,0
Fairbanks North Star,Alaska,10,8
Haines,Alaska,0,0
Hoonah-Angoon,Alaska,0,0
Juneau,Alaska,12,10
Kenai Peninsula,Alaska,12,8
Ketchikan Gateway,Alaska,12,10
Kodiak Island,Alaska,0,12
Kusilvak,Alaska,0,0
Lake and Peninsula,Alaska,0,0
Matanuska-Susitna,Alaska,12,9
Nome,Alaska,0,10
North Slope,Alaska,0,0
Northwest Arctic,Alaska,0,0
Petersburg,Alaska,12,2
Prince of Wales-Hyder,Alaska,12,11
Sitka,Alaska,0,10
Skagway,Alaska,0,0
Southeast Fairbanks,Alaska,13,10
Valdez-Cordova,Alaska,0,0
Wrangell,Alaska,0,0
Yakutat,Alaska,0,0
Yukon-Koyukuk,Alaska,13,12
Apache,Arizona,5,1
Cochise,Arizona,12,9
Coconino,Arizona,5,1
Gila,Arizona,12,9
Graham,Arizona,12,12
Greenlee,Arizona,12,10
La Paz,Arizona,10,3
Maricopa,Arizona,8,3
Mohave,Arizona,10,2
Navajo,Arizona,6,1
Pima,Arizona,4,3
Pinal,Arizona,10,2
Santa Cruz,Arizona,12,10
Yavapai,Arizona,10,8
Yuma,Arizona,10,2
Arkansas,Arkansas,12,10
Ashley,Arkansas,12,10
Baxter,Arkansas,12,10
Benton,Arkansas,12,12
Boone,Arkansas,12,10
Bradley,Arkansas,9,2
Calhoun,Arkansas,0,0
Carroll,Arkansas,12,12
Chicot,Arkansas,12,10
