County,State,Cluster_idx
Autauga,Alabama,1
Baldwin,Alabama,7
Barbour,Alabama,2
Bibb,Alabama,8
Blount,Alabama,9
Bullock,Alabama,1
Butler,Alabama,5
Calhoun,Alabama,8
Chambers,Alabama,6
Cherokee,Alabama,9
Chilton,Alabama,8
Choctaw,Alabama,3
Clarke,Alabama,3
Clay,Alabama,2
Cleburne,Alabama,8
Coffee,Alabama,8
Colbert,Alabama,1
Conecuh,Alabama,8
Coosa,Alabama,2
Covington,Alabama,8
Crenshaw,Alabama,2
Cullman,Alabama,8
Dale,Alabama,10
Dallas,Alabama,1
DeKalb,Alabama,2
Elmore,Alabama,3
Escambia,Alabama,2
Etowah,Alabama,3
Fayette,Alabama,10
Franklin,Alabama,3
Geneva,Alabama,10
Greene,Alabama,5
Hale,Alabama,1
Henry,Alabama,2
Houston,Alabama,2
Jackson,Alabama,3
Jefferson,Alabama,3
Lamar,Alabama,10
Lauderdale,Alabama,1
Lawrence,Alabama,10
Lee,Alabama,5
Limestone,Alabama,10
Lowndes,Alabama,6
Macon,Alabama,3
Madison,Alabama,8
Marengo,Alabama,1
Marion,Alabama,5
Marshall,Alabama,3
Mobile,Alabama,1
Monroe,Alabama,3
Montgomery,Alabama,1
Morgan,Alabama,9
Perry,Alabama,10
Pickens,Alabama,3
Pike,Alabama,10
Randolph,Alabama,1
Russell,Alabama,10
St. Clair,Alabama,9
Shelby,Alabama,2
Sumter,Alabama,1
Talladega,Alabama,8
Tallapoosa,Alabama,6
Tuscaloosa,Alabama,2
Walker,Alabama,9
Washington,Alabama,1
Wilcox,Alabama,6
Winston,Alabama,8
Aleutians East,Alaska,0
Aleutians West,Alaska,0
Anchorage,Alaska,8
Bethel,Alaska,10
Bristol Bay,Alaska,0
Denali,Alaska,0
Dillingham,Alaska,0
Fairbanks North Star,Alaska,8
Haines,Alaska,0
Hoonah-Angoon,Alaska,0
Juneau,Alaska,10
Kenai Peninsula,Alaska,8
Ketchikan Gateway,Alaska,10
Kodiak Island,Alaska,12
Kusilvak,Alaska,0
Lake and Peninsula,Alaska,0
Matanuska-Susitna,Alaska,9
Nome,Alaska,10
North Slope,Alaska,0
Northwest Arctic,Alaska,0
Petersburg,Alaska,2
Prince of Wales-Hyder,Alaska,11
Sitka,Alaska,10
Skagway,Alaska,0
Southeast Fairbanks,Alaska,10
Valdez-Cordova,Alaska,0
Wrangell,Alaska,0
Yakutat,Alaska,0
Yukon-Koyukuk,Alaska,12
Apache,Arizona,1
Cochise,Arizona,9
Coconino,Arizona,1
Gila,Arizona,9
Graham,Arizona,12
Greenlee,Arizona,10
La Paz,Arizona,3
Maricopa,Arizona,3
Mohave,Arizona,2
Navajo,Arizona,1
Pima,Arizona,3
Pinal,Arizona,2
Santa Cruz,Arizona,10
Yavapai,Arizona,8
Yuma,Arizona,2
Arkansas,Arkansas,10
Ashley,Arkansas,10
Baxter,Arkansas,10
Benton,Arkansas,12
Boone,Arkansas,10
Bradley,Arkansas,2
Calhoun,Arkansas,0
Carroll,Arkansas,12
Chicot,Arkansas,10
Clark,Arkansas,10
Clay,Arkansas,10
Cleburne,Arkansas,2
Cleveland,Arkansas,10
Columbia,Arkansas,2
Conway,Arkansas,4
Craighead,Arkansas,8
Crawford,Arkansas,10
Crittenden,Arkansas,5
Cross,Arkansas,10
Dallas,Arkansas,12
Desha,Arkansas,10
Drew,Arkansas,2
Faulkner,Arkansas,8
Franklin,Arkansas,10
Fulton,Arkansas,10
Garland,Arkansas,9
Grant,Arkansas,10
Greene,Arkansas,10
Hempstead,Arkansas,3
Hot Spring,Arkansas,10
Howard,Arkansas,10
Independence,Arkansas,10
Izard,Arkansas,10
Jackson,Arkansas,10
Jefferson,Arkansas,1
Johnson,Arkansas,10
Lafayette,Arkansas,2
Lawrence,Arkansas,5
